Medicinename,Prescription,Typeofsell,Manufacturer,Salt,MRP,Uses,Alternatemedicine,Sideeffects,Howtouse,Chemicalclass,Habitforming,Therapeuticclass,Actionclass
Doxy T 100mg Tablet,Prescription Required,8 tablets in 1 strip,Omega Remedies Pvt Ltd,"Doxycycline (100mg),",₹35,"Treatment of Bacterial infections,Treatment of Acne,","Doxid 100mg Tablet,Rapidoxyn 100mg Tablet,Doxytop 100mg Tablet,Doxygee 100mg Tablet,Detab Tablet,","Vomiting,Nausea,Diarrhea,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Doxy T 100mg Tablet is to be taken empty stomach.
Avoid Doxy T 100mg Tablet with dairy products such as milk, cheese, curd, butter, paneer and ice cream.",Tetracyclines,No,ANTI INFECTIVES,Tetracyclines
Dologel-CT Gel,N,10 gm in 1 tube,Dr Reddy's Laboratories Ltd,"Choline Salicylate (8.7% w/w) + Lidocaine (2% w/w),",₹77.5,"Treatment of Mouth ulcers,","Ulsore Gel,Orogard SG Gel,Mugel Freshora Gel,Oraflora LA Gel,Mosiba Gel,","No common side effects seen,",This medicine is for external use only. Use this medicine in the dose and duration as advised by your doctor. ,Not Listed,No,STOMATOLOGICALS,Not Listed
Dologel,N,15 gm in 1 bottle,Dr Reddy's Laboratories Ltd,"Choline Salicylate (8.7% w/w) + Lidocaine (2% w/w),",₹82.25,"Treatment of Mouth ulcers,","Ulsore Gel,Orogard SG Gel,Mugel Freshora Gel,Oraflora LA Gel,Mosiba Gel,","No common side effects seen,",This medicine is for external use only. Use this medicine in the dose and duration as advised by your doctor. ,Not Listed,No,STOMATOLOGICALS,Not Listed
Diamicron XR Mex 500 Tablet,Prescription Required,14 tablet xr in 1 strip,Serdia Pharmaceuticals India Pvt Ltd,"Gliclazide (60mg) + Metformin (500mg),",₹217,"Type 2 diabetes mellitus,","Nixzide 60mg/500mg Tablet XR,Mexigliz M 60mg/500mg Tablet XR,Eldozide XR 60mg/500mg Tablet,Vitaglic M XR Tablet,Loyzide M 60mg/500mg Tablet XR,","Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Diamicron XR Mex 500 Tablet is to be taken with food.",Not Listed,No,ANTI DIABETIC,Not Listed
Donep 5 Tablet,Prescription Required,15 tablets in 1 strip,Alkem Laboratories Ltd,"Donepezil (5mg),",₹188.25,"Alzheimer's disease,","Donaz 5mg Tablet,Demenza 5mg Tablet,Dnp 5mg Tablet,Remenda 5mg Tablet,Alzepil 5mg Tablet,","Nausea,Diarrhea,Insomnia (difficulty in sleeping),Vomiting,Muscle cramp,Fatigue,Weight loss,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Donep 5 Tablet may be taken with or without food, but it is better to take it at a fixed time.",Carbamate Derivative,No,NEURO CNS,Cholinesterase inhibitors - Alzheimer's disease
Bupron SR 150 Tablet,Prescription Required,10 tablet er in 1 strip,Sun Pharmaceutical Industries Ltd,"Bupropion (150mg),",₹130.5,"Depression,Smoking addiction,","Ession 150mg Tablet ER,Buproban 150mg Tablet ER,Buropin XL 150mg Tablet,Unidep SR 150 Tablet,Bupromat 150mg Tablet ER,","Insomnia (difficulty in sleeping),Allergic reaction,Impaired concentration,Sweating,Headache,Nausea,Vomiting,Dizziness,Dryness in mouth,Taste change,Abdominal pain,Agitation,Anxiety,Fever,Constipation,Tremor,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Bupron SR 150 Tablet may be taken with or without food, but it is better to take it at a fixed time.",Propiophenone Derivetive,No,NEURO CNS,Norepinephrine-dopamine reuptake inhibitor (NDRI)
Bactafuz Cream,N,5 gm in 1 tube,Mankind Pharma Ltd,"Fusidic Acid (2% w/w),",₹49.7,"Bacterial skin infections,","Fusibest Cream,Fusilex 2% Cream,Siofin Cream,Futop Cream,Fusep 2% Cream,","Application site reactions (burning, irritation, itching and redness),","This medicine is for external use only. Use it in the dose and duration as advised by your doctor. Check the label for directions before use. Clean and dry the affected area and apply the cream. Wash your hands after applying, unless hands are the affected area. ",Steroid esters,No,DERMA,Protein synthesis inhibitors
Bonista Cartridge,Prescription Required,3 ml in 1 cartridge,Sun Pharmaceutical Industries Ltd,"Teriparatide (250mcg/ml),",₹7117.5,"Osteoporosis,","Rockbon PTH Solution for Injection,Tricium PTH RU 250mcg/ml Solution for Injection,Bonotiode 250mcg/ml Solution for Injection,","Joint pain,Injection site reactions (pain, swelling, redness),Nausea,Leg cramps,",Your doctor or nurse will guide you how to use this medicine. ,Parathyroid Hormone Analogs,No,HORMONES,Bone formation stimulator -PTH analogue
Britzilam 50 Tablet,Prescription Required,14 tablets in 1 strip,Torrent Pharmaceuticals Ltd,"Brivaracetam (50mg),",₹208.6,"Epilepsy/Seizures,","Briv 50mg Tablet,Brinda 50 Tablet,Brevipil 50 Tablet,Brivgard 50 Tablet,Brivazen 50 Tablet,","Dizziness,Nausea,Sleepiness,Vomiting,Irritation,Behavioural changes,Headache,Agitation,Aggressive behavior,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Britzilam 50 Tablet may be taken with or without food, but it is better to take it at a fixed time.",Levetiracetam Derivative,No,NEURO CNS,Synaptic vescicle 2 A protein ligand (AED)
Bisonext 2.5mg Tablet,Prescription Required,15 tablets in 1 strip,Lupin Ltd,"Bisoprolol (2.5mg),",₹87.75,"Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,","Bisocar 2.5mg Tablet,Trubis 2.5mg Tablet,Biselect 2.5 Tablet,Qualis 2.5mg Tablet,Bisveda 2.5mg Tablet,","Nausea,Headache,Slow heart rate,Fatigue,Constipation,Diarrhea,Dizziness,Cold extremities,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Bisonext 2.5mg Tablet may be taken with or without food, but it is better to take it at a fixed time.",Benzylethers derivative,No,CARDIAC,Beta blocker- Cardioselective
Bromhexine Elixir,Prescription Required,120 ml in 1 bottle,Ipca Laboratories Ltd,"Bromhexine (4mg/5ml),",₹118.35,"Treatment of Respiratory tract disorders associated with viscid mucus,",,"Irritation of ear,Allergic skin rash,Dizziness,Headache,",Take this medicine in the dose and duration as advised by your doctor. Check the label for directions before use. Measure it with measuring cup and take it by mouth. Shake well before use. Bromhexine Elixir is to be taken with food.,Phenylmethylamine Derivative,No,RESPIRATORY,Mucolytics
Brinzotim Eye Drop,Prescription Required,5 ml in 1 packet,Sun Pharmaceutical Industries Ltd,"Brinzolamide (1% w/v) + Timolol (0.5% w/v),",₹425,"Ocular hypertension,Glaucoma,","Brinzox-T Eye Drop,","Itching,Irritation,Stinging sensation,Burning sensation in eye,Blurred vision,Eye redness,Taste change,",This medicine is for external use only. Use it in the dose and duration as advised by your doctor. Check the label for directions before use. Hold the dropper close to the eye without touching it. Gently squeeze the dropper and place the medicine inside the lower eyelid. Wipe off the extra liquid. ,Not Listed,No,OPHTHAL,Not Listed
Betoact Eye Drops,Prescription Required,5 ml in 1 bottle,Ajanta Pharma Ltd,"Bepotastine (1.5% w/v),",₹233,"Allergic eye disease,","Beporest Eye drop,Beposurge Eye Drop,Bepotime Eye Drop,Zyclear Eye Drop,Dabfit Eye Drop,","Taste change,Eye irritation,Headache,Nasopharyngitis (inflammation of the throat and nasal passages),",This medicine is for external use only. Take it in the dose and duration as advised by your doctor. Check the label for directions before use. Hold the dropper close to the eye without touching it. Gently squeeze the dropper and place the medicine inside the lower eyelid. Wipe off extra liquid. ,Benzylethers Derivative,No,OPHTHAL,H1 Antihistaminics (second Generation)
Meftal-Spas Tablet,Prescription Required,10 tablets in 1 strip,Blue Cross Laboratories Ltd,"Dicyclomine (10mg) + Mefenamic Acid (250mg),",₹46,"Menstrual pain,Abdominal cramp,Colicky pain,","Spasmonil Plus Tablet,Koligesic MF 10 mg/250 mg Tablet,Rxmef Spas 10 mg/250 mg Tablet,MEF-Proxyvon 250mg/10mg Tablet,Euspas 10 mg/250 mg Tablet,","Dizziness,Dryness in mouth,Blurred vision,Nausea,Sleepiness,Weakness,Nervousness,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Meftal-Spas Tablet is to be taken with food.",Not Listed,No,PAIN ANALGESICS,Not Listed
Montek LC Tablet,Prescription Required,10 tablets in 1 strip,Sun Pharmaceutical Industries Ltd,"Levocetirizine (5mg) + Montelukast (10mg),",₹179.5,"Sneezing and runny nose due to allergies,Hay fever,Allergic skin conditions,","Montina-L Tablet,Levotac-M Tablet,Levocet M Tablet,Monticope Tablet,Lecope-M Tablet,","Diarrhea,Dryness in mouth,Fatigue,Headache,Nausea,Skin rash,Sleepiness,Vomiting,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Montek LC Tablet may be taken with or without food, but it is better to take it at a fixed time.",Not Listed,No,RESPIRATORY,Not Listed
Metrogyl 400 Tablet,Prescription Required,15 tablets in 1 strip,J B Chemicals and Pharmaceuticals Ltd,"Metronidazole (400mg),",₹21.39,"Bacterial infections,Parasitic infections,","Unimegyl 400mg Tablet,Metro 400mg Tablet,Metropen 400mg Tablet,Metgyl 400mg Tablet,Metron 400mg Tablet,","Headache,Dryness in mouth,Nausea,Metallic taste,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Metrogyl 400 Tablet is to be taken with food.",Nitroimidazole,No,GASTRO INTESTINAL,5-Nitroimidazole (Antiprotozoal & Antibacterial)
Manforce 100mg Tablet,Prescription Required,4 tablets in 1 strip,Mankind Pharma Ltd,"Sildenafil (100mg),",₹232,"Treatment of Erectile dysfunction,","Joshila 100mg Tablet,Vigore 100 Red Tablet,Edegra 100mg Tablet,Duraga 100mg Tablet,Vigored Blue 100mg Tablet,","Flushing (sense of warmth in the face, ears, neck and trunk),Headache,Dizziness,Blurred vision,Muscle pain,Upset stomach,Rash,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Manforce 100mg Tablet may be taken with or without food, but it is better to take it at a fixed time.",Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors
Montair-LC Tablet,Prescription Required,10 tablets in 1 strip,Cipla Ltd,"Levocetirizine (5mg) + Montelukast (10mg),",₹176.55,"Sneezing and runny nose due to allergies,Hay fever,Allergic skin conditions,","Montina-L Tablet,Levotac-M Tablet,Levocet M Tablet,Monticope Tablet,Lecope-M Tablet,","Diarrhea,Dryness in mouth,Fatigue,Headache,Nausea,Skin rash,Sleepiness,Vomiting,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Montair-LC Tablet may be taken with or without food, but it is better to take it at a fixed time.",Not Listed,No,RESPIRATORY,Not Listed
Monocef-O 200 Tablet,Prescription Required,10 tablets in 1 strip,Aristo Pharmaceuticals Pvt Ltd,"Cefpodoxime Proxetil (200mg),",₹154.75,"Bacterial infections,","Opox 200mg Tablet,Gudcef 200 Tablet,Zipod 200mg Tablet,Bactogard 200mg Tablet,Doxcef 200 Tablet,","Rash,Nausea,Diarrhea,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Monocef-O 200 Tablet is to be taken with food.",Broad Spectrum (Third & fourth generation cephalosporins),No,ANTI INFECTIVES,Cephalosporins: 3 generation
Meftal-Forte Tablet,Prescription Required,10 tablets in 1 strip,Blue Cross Laboratories Ltd,"Mefenamic Acid (500mg) + Paracetamol (325mg),",₹44,"Pain relief,Fever,","Mefrite P 500mg/325mg Tablet,Albimol MF 500mg/325mg Tablet,Pacimol MF Tablet,Mefkind Forte Tablet,Nefmic Forte 500mg/325mg Tablet,","Nausea,Vomiting,Diarrhea,Indigestion,Loss of appetite,Heartburn,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Meftal-Forte Tablet is to be taken with food.",Not Listed,No,PAIN ANALGESICS,Not Listed
Moxikind-CV 625 Tablet,Prescription Required,10 tablets in 1 strip,Mankind Pharma Ltd,"Amoxycillin  (500mg) +  Clavulanic Acid (125mg),",₹153.74,"Bacterial infections,","Moxiforce-CV 625 Tablet,Mega-CV 625 Tablet,Fightox 625 Tablet,Duet 625 Tablet,Clavidur 625 Tablet,","Vomiting,Nausea,Diarrhea,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Moxikind-CV 625 Tablet is to be taken with food.",Not Listed,No,ANTI INFECTIVES,Not Listed
Montina-L Tablet,Prescription Required,10 tablets in 1 strip,Aristo Pharmaceuticals Pvt Ltd,"Levocetirizine (5mg) + Montelukast (10mg),",₹59,"Sneezing and runny nose due to allergies,Hay fever,Allergic skin conditions,","Levotac-M Tablet,Levocet M Tablet,Monticope Tablet,Lecope-M Tablet,Safecet M Tablet,","Diarrhea,Dryness in mouth,Fatigue,Headache,Nausea,Skin rash,Sleepiness,Vomiting,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Montina-L Tablet may be taken with or without food, but it is better to take it at a fixed time.",Not Listed,No,RESPIRATORY,Not Listed
Monocef 1gm Injection,Prescription Required,1 Injection in 1 vial,Aristo Pharmaceuticals Pvt Ltd,"Ceftriaxone (1gm),",₹60.2,"Bacterial infections,","D Cef 1gm Injection,Grosafe 1gm Injection,Supercef 1gm Injection,Taxone 1gm Injection,Ceftrian 1gm Injection,","Diarrhea,Rash,Abnormal liver function tests,Decreased blood cells (red cells, white cells, and platelets),Injection site reactions (pain, swelling, redness),",Your doctor or nurse will give you this medicine. Kindly do not self administer. ,Broad Spectrum (Third & fourth generation cephalosporins),No,ANTI INFECTIVES,Cephalosporins: 3 generation
Meganeuron OD Plus Capsule,N,10 capsules in 1 strip,Aristo Pharmaceuticals Pvt Ltd,"Methylcobalamin (1500mcg) + Vitamin B6 (Pyridoxine) (5mg) + Benfotiamine (50mg) + Alpha Lipoic Acid (200mg) + Folic Acid (5mg) + Biotin (5mg),",₹129,"Vitamin & mineral deficiency,",,"No common side effects seen,","Take this medicine in the dose and duration as advised by your doctor. Meganeuron OD Plus Capsule may be taken with or without food, but it is better to take it at a fixed time.",Not Listed,No,VITAMINS MINERALS NUTRIENTS,Not Listed
Meprate 10mg Tablet,Prescription Required,10 tablets in 1 strip,Serum Institute Of India Ltd,"Medroxyprogesterone acetate (10mg),",₹60,"Abnormal uterine bleeding,Amenorrhea,","Medanin 10mg Tablet,Megest 10mg Tablet,Bioprate 10mg Tablet,Orgem 10mg Tablet,Degory Tablet,","Headache,Abdominal pain,Weakness,Dizziness,Irregular menstrual cycle,Nervousness,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Meprate 10mg Tablet may be taken with or without food, but it is better to take it at a fixed time.","Gluco/Mineralocorticoids, Progestogins Derivatives",No,GYNAECOLOGICAL,Progestins (First generation)
Happi-D Capsule SR,Prescription Required,10 capsule sr in 1 strip,Zydus Cadila,"Domperidone (30mg) + Rabeprazole (20mg),",₹150,"Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,","Ecorab D Capsule SR,Rbc DSR Capsule,Makrab-DSR Capsule,Razido-D Capsule SR,Cudworth Capsule SR,","Diarrhea,Stomach pain,Dryness in mouth,Headache,Dizziness,Flatulence,Weakness,Flu-like symptoms,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Happi-D Capsule SR is to be taken empty stomach.
",Not Listed,No,GASTRO INTESTINAL,Not Listed
HH Sone Cream,Prescription Required,10 gm in 1 tube,Hegde and Hegde Pharmaceutical LLP,"Mometasone (0.1% w/w),",₹174,"Skin conditions with inflammation & itching,","Mfsone Cream,Ezimet Cream,Etaze Cream,Momoz Cream,Momate-XL Cream,","Skin atrophy,Paresthesia (tingling or pricking sensation),Stinging sensation,","This medicine is for external use only. Use it in the dose and duration as advised by your doctor. Check the label for directions before use. Clean and dry the affected area and apply the cream. Wash your hands after applying, unless hands are the affected area. ","Gluco/mineralocorticoids, progestogins and derivatives",No,DERMA,Glucocorticoids
Hylosoft Eye Drop,N,10 ml in 1 packet,Neomedix Healthcare India Private Limited,"Sodium Hyaluronate (0.1% w/v),",₹425,"Treatment of Dry eyes,","HY 5  Eye Drop,Hyadry 0.1% Eye Drop,Hylowell Eye Drop,Soha 0.1% Eye Drop,Lubimoist Eye Drop,","Limited data available,",This medicine is for external use only. Use it in the dose and duration as advised by your doctor. Check the label for directions before use. Hold the dropper close to the eye without touching it. Gently squeeze the dropper and place the medicine inside the lower eyelid. Wipe off the extra liquid. ,Nonsulfated Glycosaminoglycan,No,OPHTHAL,Osteoarthritis- Hyaluronic acid
Haemaccel Infusion,Prescription Required,500 ml in 1 bottle,Abbott,"Calcium Chloride (0.070gm) + Potassium Chloride (0.038gm) + Sodium Chloride (0.85gm),",₹463.43,"Short term fluid replacement after trauma,",,"Injection site reactions (pain, swelling, redness),",Your doctor or nurse will give you this medicine. Kindly do not self-administer.  ,Not Listed,No,BLOOD RELATED,Not Listed
Herpex 5% Cream,Prescription Required,5 gm in 1 tube,Torrent Pharmaceuticals Ltd,"Acyclovir (5% w/w),",₹82.15,"Herpes labialis,","Herpesafe Cream,Clodrem 5% Cream,Vircyclo 5% Cream,Glenvirax Cream,Clovy Cream,","Application site reactions (burning, irritation, itching and redness),","This medicine is for external use only. Use it in the dose and duration as advised by your doctor. Check the label for directions before use. Clean and dry the affected area and apply the cream. Wash your hands after applying, unless hands are the affected area. ",Nucleoside analog,No,DERMA,Antiviral (Non-HIV) drugs
Hifenac SR Tablet,Prescription Required,10 tablet sr in 1 strip,Intas Pharmaceuticals Ltd,"Aceclofenac (200mg),",₹82,"Pain relief,","Acq 200mg Tablet SR,Topnac 200mg Tablet SR,Algic 200mg Tablet SR,Timenac 200mg Tablet SR,Arflur CR  Tablet,","Vomiting,Stomach pain/epigastric pain,Nausea,Indigestion,Diarrhea,Heartburn,Loss of appetite,","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Hifenac SR Tablet is to be taken with food.",Dichlorobenzenes Derivative,No,PAIN ANALGESICS,NSAID's- Non-Selective COX 1&2 Inhibitors (acetic acid)
Hhfudic Cream,Prescription Required,10 gm in 1 tube,Hegde and Hegde Pharmaceutical LLP,"Mometasone (0.1% w/w) + Fusidic Acid (2% w/w),",₹279,"Skin infections,","Etaze-ID Cream,Ezimet-F Cream,Fusimate Cream,Eczmate-F Cream,Fusidan Cream,","Application site reactions (burning, irritation, itching and redness),","This medicine is for external use only. Use it in the dose and duration as advised by your doctor. Check the label for directions before use. Clean and dry the affected area and apply the cream. Wash your hands after applying, unless hands are the affected area. ",Not Listed,No,DERMA,Not Listed
Hifen 200 DT Tablet,Prescription Required,10 tablet dt in 1 strip,Hetero Drugs Ltd,"Cefixime (200mg),",₹101,"Bacterial infections,","Vibazime 200 DT Tablet,Cquence 200mg Tablet DT,Extacef 200 DT Tablet,Fexinex 200mg Tablet DT,Ximeceff 200 Tablet DT,","Nausea,Stomach pain,Indigestion,Diarrhea,","Take this medicine in the dose and duration as advised by your doctor. Dissolve it in a glass of water before taking it. Hifen 200 DT Tablet may be taken with or without food, but it is better to take it at a fixed time.",Broad spectrum (Third & fourth generation cephalosporins},No,ANTI INFECTIVES,Cephalosporins: 3 generation
Hadensa Ointment,Prescription Required,40 gm in 1 tube,Dollar,"Lanolin (100% w/w) + Lidocaine (1% w/w) + Menthol (1% w/w) + Thymol (0.5% w/w),",₹130,"Piles,",,"Limited data available,",This medicine is for external use only. Use it in the dose and duration as advised by your doctor. Check the label for directions before use. Clean and dry the affected area and gently massage the ointment. ,Not Listed,No,DERMA,Not Listed
